code,name_en,city_en,source
PGD,Charlotte County Airport,Punta Gorda,openflights-ourairports
PHL,Philadelphia International Airport,Philadelphia,openflights-ourairports
PHX,Phoenix Sky Harbor International Airport,Phoenix,openflights-ourairports
PIA,General Wayne A. Downing Peoria International Airport,Peoria,openflights-ourairports
PIB,Hattiesburg Laurel Regional Airport,Hattiesburg/Laurel,openflights-ourairports
PIE,St Petersburg Clearwater International Airport,St. Petersburg,openflights-ourairports
PIH,Pocatello Regional Airport,Pocatello,openflights-ourairports
PIT,Pittsburgh International Airport,Pittsburgh,openflights-ourairports
PLN,Pellston Regional Airport of Emmet County Airport,Pellston,openflights-ourairports
PNS,Pensacola Regional Airport,Pensacola,openflights-ourairports
PPG,Pago Pago International Airport,Pago Pago,openflights-ourairports
PQI,Northern Maine Regional Airport at Presque Isle,Presque Isle,openflights-ourairports
PRC,Ernest A. Love Field,Prescott,openflights-ourairports
PSC,Tri Cities Airport,Pasco,openflights-ourairports
PSE,Mercedita Airport,Ponce,openflights-ourairports
PSG,Petersburg James A Johnson Airport,Petersburg,openflights-ourairports
PSM,Portsmouth International at Pease Airport,Portsmouth,openflights-ourairports
PSP,Palm Springs International Airport,Palm Springs,openflights-ourairports
PVD,Theodore Francis Green State Airport,Providence,openflights-ourairports
PVU,Provo Municipal Airport,Provo,openflights-ourairports
PWM,Portland International Jetport Airport,Portland,openflights-ourairports
RAP,Rapid City Regional Airport,Rapid City,openflights-ourairports
RDD,Redding Municipal Airport,Redding,openflights-ourairports
RDM,Roberts Field,Redmond-Bend,openflights-ourairports
RDU,Raleigh Durham International Airport,Raleigh-durham,openflights-ourairports
RFD,Chicago Rockford International Airport,Rockford,openflights-ourairports
RHI,Rhinelander Oneida County Airport,Rhinelander,openflights-ourairports
RIC,Richmond International Airport,Richmond,openflights-ourairports
RIW,Riverton Regional Airport,Riverton WY,openflights-ourairports
RKS,Southwest Wyoming Regional Airport,Rock Springs,openflights-ourairports
RNO,Reno Tahoe International Airport,Reno,openflights-ourairports
ROA,Roanoke–Blacksburg Regional Airport,Roanoke VA,openflights-ourairports
ROC,Greater Rochester International Airport,Rochester,openflights-ourairports
ROW,Roswell International Air Center Airport,Roswell,openflights-ourairports
RST,Rochester International Airport,Rochester,openflights-ourairports
RSW,Southwest Florida International Airport,Fort Myers,openflights-ourairports
SAF,Santa Fe Municipal Airport,Santa Fe,openflights-ourairports
SAN,San Diego International Airport,San Diego,openflights-ourairports
SAT,San Antonio International Airport,San Antonio,openflights-ourairports
SAV,Savannah Hilton Head International Airport,Savannah,openflights-ourairports
SBA,Santa Barbara Municipal Airport,Santa Barbara,openflights-ourairports
SBN,South Bend Regional Airport,South Bend,openflights-ourairports
SBP,San Luis County Regional Airport,San Luis Obispo,openflights-ourairports
SCC,Deadhorse Airport,Deadhorse,openflights-ourairports
SCE,University Park Airport,State College Pennsylvania,openflights-ourairports
SCK,Stockton Metropolitan Airport,Stockton,openflights-ourairports
SDF,Louisville International Standiford Field,Louisville,openflights-ourairports
SEA,Seattle Tacoma International Airport,Seattle,openflights-ourairports
SFB,Orlando Sanford International Airport,Sanford,openflights-ourairports
SFO,San Francisco International Airport,San Francisco,openflights-ourairports
SGF,Springfield Branson National Airport,Springfield,openflights-ourairports
SGU,St George Municipal Airport,Saint George,openflights-ourairports
SHR,Sheridan County Airport,Sheridan,openflights-ourairports
SHV,Shreveport Regional Airport,Shreveport,openflights-ourairports
SIT,Sitka Rocky Gutierrez Airport,Sitka,openflights-ourairports
SJC,Norman Y. Mineta San Jose International Airport,San Jose,openflights-ourairports
SJT,San Angelo Regional Mathis Field,San Angelo,openflights-ourairports
SJU,Luis Munoz Marin International Airport,San Juan,openflights-ourairports
SLC,Salt Lake City International Airport,Salt Lake City,openflights-ourairports
SLN,Salina Municipal Airport,Salina,openflights-ourairports
SMF,Sacramento International Airport,Sacramento,openflights-ourairports
SMX,Santa Maria Pub/Capt G Allan Hancock Field,Santa Maria,openflights-ourairports
SNA,John Wayne Airport-Orange County Airport,Santa Ana,openflights-ourairports
SPI,Abraham Lincoln Capital Airport,Springfield,openflights-ourairports
SPN,Saipan International Airport,Saipan,openflights-ourairports
SPS,Sheppard Air Force Base-Wichita Falls Municipal Airport,Wichita Falls,openflights-ourairports
SRQ,Sarasota Bradenton International Airport,Sarasota,openflights-ourairports
STC,St Cloud Regional Airport,Saint Cloud,openflights-ourairports
STL,St Louis Lambert International Airport,St. Louis,openflights-ourairports
STS,Charles M. Schulz Sonoma County Airport,Santa Rosa,openflights-ourairports
STT,Cyril E. King Airport,St. Thomas,openflights-ourairports
STX,Henry E Rohlsen Airport,St. Croix Island,openflights-ourairports
SUN,Friedman Memorial Airport,Hailey,openflights-ourairports
SUX,Sioux Gateway Col. Bud Day Field,Sioux City,openflights-ourairports
SWF,Stewart International Airport,Newburgh,openflights-ourairports
SWO,Stillwater Regional Airport,Stillwater,openflights-ourairports
SYR,Syracuse Hancock International Airport,Syracuse,openflights-ourairports
TLH,Tallahassee Regional Airport,Tallahassee,openflights-ourairports
TOL,Toledo Express Airport,Toledo,openflights-ourairports
TPA,Tampa International Airport,Tampa,openflights-ourairports
TRI,Tri-Cities Regional TN/VA Airport,BRISTOL,openflights-ourairports
TTN,Trenton Mercer Airport,Trenton,openflights-ourairports
TUL,Tulsa International Airport,Tulsa,openflights-ourairports
TUS,Tucson International Airport,Tucson,openflights-ourairports
TVC,Cherry Capital Airport,Traverse City,openflights-ourairports
TWF,Joslin Field Magic Valley Regional Airport,Twin Falls,openflights-ourairports
TXK,Texarkana Regional Webb Field,Texarkana,openflights-ourairports
TYR,Tyler Pounds Regional Airport,Tyler,openflights-ourairports
TYS,McGhee Tyson Airport,Knoxville,openflights-ourairports
USA,Concord-Padgett Regional Airport,Concord,openflights-ourairports
VCT,Victoria Regional Airport,Victoria,openflights-ourairports
VPS,Destin-Ft Walton Beach Airport,Valparaiso,openflights-ourairports
WRG,Wrangell Airport,Wrangell,openflights-ourairports
WYS,Yellowstone Airport,West Yellowstone,openflights-ourairports
XWA,Williston Basin International Airport,Williston,manual
XNA,Northwest Arkansas Regional Airport,Bentonville,openflights-ourairports
YAK,Yakutat Airport,Yakutat,openflights-ourairports
YUM,Yuma MCAS/Yuma International Airport,Yuma,openflights-ourairports
